,lat,lon,alt,crs,hac,vac,spd,dst,t
59.0,42.408669,-71.076552,4.718014,1.054688,5.0,3.0,14.12,0.0,1510239153000
60.0,42.408797,-71.076549,4.760525,1.757812,5.0,3.0,13.97,0.0,1510239154000
61.0,42.408927,-71.076542,4.755001,1.757812,5.0,3.0,14.12,0.0,1510239155000
62.0,42.409053,-71.076537,4.648403,1.757812,5.0,3.0,14.23,0.0,1510239156000
63.0,42.409176,-71.076536,5.104244,2.109375,5.0,3.0,14.2,0.0,1510239157000
64.0,42.409305,-71.07653,5.180477,1.40625,5.0,3.0,14.1,0.0,1510239158000
65.0,42.409426,-71.076528,4.95779,1.40625,5.0,3.0,13.84,0.0,1510239159000
66.0,42.40955,-71.076524,5.049129,1.40625,5.0,3.0,13.84,0.0,1510239160000
67.0,42.409677,-71.076515,5.214077,1.40625,5.0,3.0,13.87,0.0,1510239161000
68.0,42.409808,-71.076515,5.227749,0.703125,5.0,3.0,13.96,0.0,1510239162000
69.0,42.409933,-71.076511,5.002499,1.40625,5.0,3.0,13.93,0.0,1510239163000
70.0,42.410049,-71.07651,4.825527,1.757812,5.0,3.0,13.91,0.0,1510239164000
71.0,42.410167,-71.076507,5.011135,1.757812,5.0,3.0,13.79,0.0,1510239165000
72.0,42.410297,-71.076503,5.314266,0.351562,5.0,3.0,13.84,0.0,1510239166000
73.0,42.410421,-71.076499,5.517574,358.945312,5.0,3.0,14.15,0.0,1510239167000
74.0,42.410561,-71.076498,5.689419,359.296875,5.0,3.0,14.17,0.0,1510239168000
75.0,42.410679,-71.076499,5.699123,0.0,5.0,3.0,14.13,0.0,1510239169000
76.0,42.410804,-71.076496,5.720303,0.351562,5.0,3.0,14.13,0.0,1510239170000
77.0,42.410932,-71.076493,5.743069,0.351562,5.0,3.0,14.29,0.0,1510239171000
78.0,42.411062,-71.076489,5.555599,0.351562,5.0,3.0,14.01,0.0,1510239172000
79.0,42.411185,-71.076493,5.497646,0.0,5.0,3.0,14.2,0.0,1510239173000
80.0,42.411326,-71.076489,5.383572,0.0,5.0,3.0,14.47,0.0,1510239174000
81.0,42.411463,-71.076486,5.159054,0.351562,5.0,3.0,14.44,0.0,1510239175000
82.0,42.411599,-71.07648,4.899624,1.054688,5.0,3.0,14.41,0.0,1510239176000
83.0,42.411727,-71.076482,4.627651,0.351562,5.0,4.0,14.34,0.0,1510239177000
84.0,42.411852,-71.07648,4.765041,0.0,5.0,4.0,14.32,0.0,1510239178000
85.0,42.411983,-71.076478,5.228237,359.648438,5.0,4.0,14.3,0.0,1510239179000
86.0,42.412118,-71.076482,5.488613,359.296875,5.0,3.0,14.41,0.0,1510239180000
87.0,42.412243,-71.076487,5.251247,0.0,5.0,3.0,14.53,0.0,1510239181000
88.0,42.412377,-71.076488,5.249752,0.351562,5.0,3.0,14.73,0.0,1510239182000
89.0,42.412505,-71.076489,5.188076,0.351562,5.0,3.0,14.82,0.0,1510239183000
90.0,42.412641,-71.076489,5.21072,0.0,5.0,3.0,14.73,0.0,1510239184000
91.0,42.412776,-71.076492,5.194668,0.0,5.0,3.0,14.56,0.0,1510239185000
92.0,42.412909,-71.076487,4.781338,0.0,5.0,3.0,14.48,0.0,1510239186000
93.0,42.41304,-71.076487,4.974667,0.0,5.0,3.0,14.14,0.0,1510239187000
94.0,42.413168,-71.076485,4.634731,0.703125,5.0,3.0,14.69,0.0,1510239188000
95.0,42.413296,-71.07648,4.665035,1.40625,5.0,3.0,14.71,0.0,1510239189000
96.0,42.413427,-71.07647,4.694668,2.8125,5.0,3.0,14.79,0.0,1510239190000
97.0,42.413562,-71.076458,4.917202,6.679688,5.0,3.0,14.86,0.0,1510239191000
98.0,42.413701,-71.076434,5.017483,10.898438,5.0,3.0,14.95,0.0,1510239192000
99.0,42.413835,-71.076402,5.284573,13.359375,5.0,3.0,14.76,0.0,1510239193000
