,x,y,z
0.0,0.0006544,0.0017636,0.0025594
0.01,-0.00202763636364,-0.00640436363636,-0.000741909090909
0.02,0.00246781818182,0.00547309090909,-0.00261981818182
0.03,-0.000834,0.003214,-0.000388
0.04,-0.000923,0.009369,0.003213
0.05,-0.00290209090909,-0.00741190909091,0.00115118181818
0.06,0.0011876,-0.0013041,0.00198
0.07,0.00167872727273,-0.001438,0.004102
0.08,-0.0003732,0.0051944,0.0025224
0.09,-0.000783,-0.000239636363636,0.00208581818182
0.1,6.17e-05,0.0005198,-0.0004822
0.11,0.00276281818182,0.000450181818182,-0.00234872727273
0.12,0.002567,0.0047184,-0.00137
0.13,-0.000379909090909,0.00276836363636,-0.000383636363636
0.14,-0.000766,-0.0010895,0.0002625
0.15,-0.000704818181818,0.002324,0.00194909090909
0.16,-0.000759727272727,0.00612381818182,0.00279963636364
0.17,0.0005271,0.0024871,0.0005973
0.18,-0.001581,-0.00618527272727,-0.00141081818182
0.19,-0.0005304,-0.000471,0.000867
0.2,0.000382545454545,0.00399372727273,-0.002947
0.21,0.0004156,0.0017529,0.0019464
0.22,0.000676727272727,-0.000907,0.000764
0.23,0.002964,-0.005357,-0.000296
0.24,0.000358,0.005693,0.004471
0.25,-0.00186472727273,0.00566754545455,0.00335463636364
0.26,-0.0031058,0.0001147,-1.5e-06
0.27,0.000825272727273,-0.00346872727273,0.00267509090909
0.28,0.00256109090909,-0.000551272727273,0.001542
0.29,-0.0005606,0.0016055,-0.0025716
0.3,-0.00198463636364,-0.00116190909091,-0.000129727272727
0.31,0.0010304,-0.0066006,0.0021514
0.32,0.00359145454545,-0.00233318181818,0.00145172727273
0.33,0.001019,0.002611,0.000841
0.34,-0.00257527272727,0.00141427272727,0.00417072727273
0.35,-0.002672,-0.0041678,0.00529
0.36,-0.00100145454545,-0.00751836363636,0.000489272727273
0.37,0.0001067,-0.0019538,-0.0021694
0.38,-0.000419181818182,-0.00171863636364,-0.003782
0.39,0.000588272727273,0.00546045454545,0.00258709090909
0.4,0.0017551,-0.0059868,-4.99e-05
0.41,0.00156218181818,-0.000339818181818,0.00198063636364
0.42,0.000434,0.000762,0.000857
0.43,0.001568,0.00692,0.002021
0.44,-0.000541090909091,-0.000919090909091,0.002091
