,x,y,z
1.34,0.005165,-0.2920075,-0.951454
1.35,0.0015335,-0.286621,-0.942917
1.36,-0.004921,-0.288803,-0.9459765
1.37,-0.003708,-0.2927245,-0.953102
1.38,0.0029905,-0.292305,-0.953529
1.39,0.0050275,-0.2884295,-0.9469905
1.4,0.000778,-0.2886815,-0.9439845
1.41,-0.002548,-0.292809,-0.95005
1.42,0.0001375,-0.29422,-0.95594
1.43,0.0040665,-0.289703,-0.9508055
1.44,0.00045,-0.28611,-0.944542
1.45,-0.0029605,-0.2898945,-0.9496385
1.46,0.0003435,-0.2950515,-0.957466
1.47,0.0033115,-0.2918165,-0.952545
1.48,0.001236,-0.286873,-0.944824
1.49,-0.002968,-0.2905885,-0.946182
1.5,-0.002426,-0.294739,-0.9517515
1.51,0.00338,-0.29274,-0.953697
1.52,0.004837,-0.287613,-0.9483795
1.53,-0.0028,-0.2846145,-0.945511
1.54,-0.006737,-0.288986,-0.951691
1.55,-0.0012745,-0.293518,-0.9567645
1.56,0.0042645,-0.2894515,-0.9503175
1.57,0.002872,-0.286611,-0.943936111111
1.58,-0.003137,-0.2918856,-0.9497166
1.59,-0.0019256,-0.2948974,-0.9549684
1.6,0.0030792,-0.2900908,-0.9512662
1.61,0.0025236,-0.2863768,-0.9453278
1.62,-0.0017152,-0.289862,-0.946561
1.63,-0.0016446,-0.2923402,-0.9552214
1.64,0.0037296,-0.2905642,-0.9550838
1.65,0.0047942,-0.286261,-0.9461182
1.66,0.0001802,-0.2868406,-0.944464
1.67,-0.0034236,-0.2931212,-0.9532746
1.68,0.0010746,-0.2966796,-0.9570434
1.69,0.004108,-0.2911348,-0.9476686
1.7,-0.0018218,-0.285602,-0.9434784
1.71,-0.005713,-0.2910734,-0.9522704
1.72,-0.0014346,-0.2951412,-0.9591128
1.73,0.0041596,-0.2901916,-0.9536258
1.74,0.0031802,-0.2867708,-0.9442384
1.75,-0.0018982,-0.2914216,-0.9451294
1.76,-0.0045168,-0.2949524,-0.95376
1.77,0.0009182,-0.2927672,-0.9553986
1.78,0.0023468,-0.2884488,-0.9464048
1.79,-0.001349,-0.2876248,-0.9448854
1.8,-0.0044954,-0.2899136,-0.9519012
1.81,-0.0002136,-0.2912016,-0.9555084
1.82,0.0042328,-0.2888094,-0.9490238
1.83,0.0002076,-0.2886628,-0.9437198
1.84,-0.002838,-0.294154,-0.950002333333
1.85,0.0013487,-0.2971024,-0.9544892
1.86,0.0063154,-0.2886933,-0.9484082
1.87,0.0015976,-0.2839325,-0.9465953
1.88,-0.0048738,-0.2906064,-0.9513155
1.89,-0.0027923,-0.2939973,-0.9584319
1.9,0.0022708,-0.2898502,-0.9522979
1.91,0.0029847,-0.2849867,-0.9437867
1.92,-0.0016493,-0.2880065,-0.9446182
1.93,-0.0030348,-0.293776,-0.9531619
1.94,0.0026304,-0.294014,-0.956081
1.95,0.0043972,-0.2893584,-0.9478012
1.96,-0.0008914,-0.2884932,-0.9434248
1.97,-0.0054334,-0.2939376,-0.9535218
1.98,-0.0004515,-0.2944565,-0.9575271
1.99,0.0061264,-0.2860141,-0.9496735
2.0,0.0019469,-0.2857758,-0.9473676
2.01,-0.0021928,-0.2916552,-0.9523452
2.02,0.0010892,-0.2952543,-0.955336
2.03,0.0055479,-0.2923708,-0.9502682
2.04,0.001752,-0.287767,-0.9423844
2.05,-0.003447,-0.2891767,-0.9445575
2.06,-0.004761,-0.2923845,-0.9543962
2.07,0.0019149,-0.291229,-0.9576509
2.08,0.0056195,-0.285991,-0.9500444
2.09,0.0015276,-0.286415,-0.9442229
2.1,-0.003468,-0.2927078,-0.9494493
2.11,-0.0001339,-0.2956347,-0.9538727
2.12,0.0046921,-0.2895265,-0.9483029
2.13,0.000991777777778,-0.287405777778,-0.945258222222
2.14,-0.0042448,-0.2912812,-0.950116
2.15,-0.0013822,-0.2915468,-0.957251
2.16,0.0029538,-0.2887204,-0.9506074
2.17,-0.0003266,-0.285455,-0.9434388
2.18,-0.0017612,-0.2903106,-0.948062
2.19,-0.0024844,-0.2948854,-0.954263
2.2,0.0028896,-0.294269,-0.9541504
2.21,0.0031368,-0.2862366,-0.9458798
2.22,-0.0022126,-0.2858554,-0.944125
2.23,-0.0050662,-0.2940032,-0.9547182
2.24,0.0017154,-0.2957856,-0.9596464
2.25,0.004926,-0.288422,-0.9500888
2.26,0.000604,-0.2860654,-0.9418304
2.27,-0.0035794,-0.2916228,-0.948639
2.28,-0.002209,-0.2942778,-0.9552158
2.29,0.0058652,-0.2916684,-0.9546842
2.3,0.0021486,-0.2877414,-0.9447114
2.31,-0.0035248,-0.2923004,-0.94541
2.32,-0.003885,-0.2932736,-0.9542756
2.33,0.0013584,-0.292474,-0.955115
2.34,0.0038938,-0.2872554,-0.9464814
2.35,-0.0003906,-0.2841886,-0.9444458
2.36,-0.0030666,-0.291037,-0.950354
2.37,0.0007144,-0.2953764,-0.9548312
2.38,0.0048062,-0.2916842,-0.949686
2.39,0.0003082,-0.28754,-0.9421816
2.4,-0.005011,-0.2888732,-0.9468628
2.41,-0.00359777777778,-0.291365111111,-0.958731777778
2.42,0.0046825,-0.2912123,-0.9572887
2.43,0.0025621,-0.2872683,-0.9468645
2.44,-0.0034024,-0.2893478,-0.9429248
2.45,-0.004028,-0.2947768,-0.9524445
2.46,0.002344,-0.2970383,-0.9569705
2.47,0.0045352,-0.2888353,-0.9458707
2.48,-0.0001204,-0.286598,-0.9449658
2.49,-0.0045017,-0.2913418,-0.9524095
2.5,0.0003585,-0.2934231,-0.9589722
2.51,0.004132,-0.2900516,-0.9520428
2.52,0.0026599,-0.2883809,-0.9423307
2.53,-0.0023634,-0.2885819,-0.9449432
2.54,-0.0029953,-0.2927807,-0.9555607
2.55,0.0048078,-0.2971301,-0.9581648
2.56,0.0039318,-0.2864245,-0.9434555
2.57,-0.0023037,-0.2869861,-0.9442204
2.58,-0.0057353,-0.2942582,-0.9533738
2.59,0.0006459,-0.2972958,-0.9596206
2.6,0.0050412,-0.2893614,-0.949864
2.61,0.0002972,-0.2846891,-0.94498
2.62,-0.0028976,-0.2918796,-0.946419
2.63,-0.0015546,-0.2941389,-0.9558671
2.64,0.0056578,-0.2931566,-0.9553424
2.65,0.0047911,-0.2871935,-0.9445401
2.66,-0.0016542,-0.2884674,-0.9450213
2.67,-0.0047809,-0.2913864,-0.9533357
2.68,-0.0006563,-0.2941863,-0.9579884
2.69,0.000931,-0.283859,-0.943634
2.7,0.0,-0.282257,-0.943558
2.71,-0.002731,-0.292938,-0.952972
2.72,0.001999,-0.296783,-0.957687
2.73,0.0065,-0.290695,-0.950943
2.74,-0.000458,-0.285629,-0.940872
2.75,-0.00293,-0.288269,-0.947678
2.76,-0.004074,-0.29364,-0.956589
2.77,0.006119,-0.292542,-0.958435
2.78,0.004593,-0.285873,-0.942825
2.79,-0.003922,-0.286423,-0.94249
2.8,-0.003983,-0.294205,-0.954895
2.81,0.001938,-0.295105,-0.956924
2.82,0.005615,-0.289185,-0.947052
2.83,0.001602,-0.287918,-0.943115
2.84,-0.003067,-0.290787,-0.949295
2.85,-0.001419,-0.293732,-0.959717
2.86,0.00444,-0.291107,-0.956757
2.87,0.002045,-0.285751,-0.941574
2.88,-0.003494,-0.289917,-0.946182
2.89,-0.002396,-0.295532,-0.955414
2.9,0.004288,-0.297638,-0.957504
2.91,0.004318,-0.286713,-0.942734
2.92,-0.002594,-0.284927,-0.94101
2.93,-0.004135,-0.292282,-0.951981
2.94,-0.000198,-0.294907,-0.959808
2.95,0.006516,-0.288223,-0.948898
2.96,0.0005783,-0.2869369,-0.9402924
2.97,-0.0027692,-0.2911374,-0.9473634
2.98,-0.0022234,-0.2932691,-0.9565168
2.99,0.0056899,-0.2909028,-0.9541016
3.0,0.0041562,-0.2861692,-0.9411389
3.01,-0.0024569,-0.2878998,-0.9464397
3.02,-0.0048246,-0.2934358,-0.9542537
3.03,0.0025881,-0.2955686,-0.9556503
3.04,0.0046406,-0.2866595,-0.9457202
3.05,-0.0014573,-0.2858002,-0.9445034
3.06,-0.0038543,-0.2926299,-0.9542482
3.07,0.0029309,-0.2952849,-0.9580613
3.08,0.006978,-0.290672,-0.9477589
3.09,-0.0017703,-0.2881136,-0.94252
3.1,-0.0064592,-0.2919628,-0.9470828
3.11,-0.0032733,-0.2945103,-0.959572
3.12,0.004645,-0.2919523,-0.9569181
3.13,0.0028365,-0.2861728,-0.9444408
3.14,-0.0042103,-0.2862089,-0.9429365
3.15,-0.005092,-0.2924607,-0.956711
3.16,0.0008809,-0.2958847,-0.955562
3.17,0.0043032,-0.2872738,-0.9449311
3.18,-0.0006208,-0.2857082,-0.9430864
3.19,-0.0027355,-0.291757,-0.9508465
3.2,-0.0006285,-0.2923676,-0.9579958
3.21,0.0036761,-0.2879879,-0.9500364
3.22,0.0013887,-0.2840056,-0.941875
3.23,-0.00298222222222,-0.287880777778,-0.949089666667
3.24,-0.001016,-0.2950442,-0.9579836
3.25,0.0061094,-0.2935122,-0.9561276
3.26,0.0041778,-0.2890076,-0.9429872
3.27,-0.004657,-0.2894198,-0.9412966
3.28,-0.0058502,-0.2929476,-0.955405
3.29,0.0024692,-0.2933074,-0.9578584
3.3,0.0045718,-0.2864778,-0.9471164
3.31,-0.0010622,-0.2876342,-0.945627
3.32,-0.0037504,-0.2939118,-0.9520566
