,x,y,z
0.0,-0.00202784844978,-0.0034345673599,0.000481652756038
0.01,0.00374373048344,-0.00165587080752,-4.7880311273e-05
0.02,-0.000163414158203,0.00680684674546,0.0135759361806
0.03,-0.00199945955041,0.00738029806305,0.0135039998368
0.04,-0.00529079757104,-0.000702890385606,0.00243549020308
0.05,0.00216295713994,-0.0027240606212,-0.000760485811344
0.06,0.00599810332784,0.00425223700244,0.00879925356773
0.07,0.00271606975415,0.00696600590601,0.0123871324792
0.08,-0.00327608306608,0.000127525709595,0.00776238572805
0.09,-0.00241907277205,-0.00229607645647,0.00237638374331
0.1,0.00124303406362,0.000166631826363,0.00232714535545
0.11,0.00223005446675,0.00375001564337,0.0083906977779
0.12,-0.00114310187475,0.00520006322241,0.0114195163486
0.13,-0.00398308568907,0.00195496284293,0.00372706275843
0.14,-0.000698403634269,0.00223455512331,0.00447844064997
0.15,0.000618272480223,0.00447747191956,0.0116549113473
0.16,-0.00328492307863,0.000416516992412,0.00869649212988
0.17,-0.00293879153432,-0.00495497443062,0.00176476166683
0.18,0.00268503330069,-0.0023483508176,9.12367906194e-05
0.19,0.00455321643986,0.00474339351359,0.00800874916511
0.2,-0.00280893809071,0.0071406462127,0.0154125934025
0.21,-0.00655833541525,0.00321287085804,0.00828355248734
0.22,-0.00173292427263,0.00204848935996,-0.00220166927544
0.23,0.0052896758832,0.00103674547373,-0.000218321241199
0.24,0.00286499467198,0.00543029474897,0.0120241876686
0.25,-0.00222960022953,0.00250667566489,0.0125086455712
0.26,-0.00438228141108,-0.0037756216445,0.0029734516884
0.27,-0.00014083207916,-0.00382286046157,-0.00135948565514
0.28,0.00174816439494,0.00479858055503,0.00700027764091
0.29,0.000930654198936,0.00913552538329,0.0119252140129
0.3,-0.00218598418606,0.00444383982483,0.00626752811056
0.31,0.000659552446554,-0.00170337475081,0.000108497805061
0.32,0.00165225545004,0.00189136963183,0.00847156127359
0.33,-0.00119944119552,0.00447242432431,0.0127937165087
0.34,-0.00189986108684,-0.00102828182917,0.00519158845366
0.35,0.00183716151795,-0.00292026329073,0.000485853986835
0.36,0.00510141772999,0.00255780052775,0.00492318987626
0.37,-0.000282155476131,0.00637305297936,0.0133284862823
0.38,-0.00705646400425,0.00387936200992,0.00872061305339
0.39,-0.00471384213773,-0.00131535048342,-0.000146097522878
0.4,0.00177288880505,-0.00190229079247,0.000528376152917
0.41,0.00635772664467,0.0061350484342,0.0126046194071
0.42,0.00123365267446,0.00485762212376,0.0108518199385
0.43,-0.00289395461243,-0.00020037423585,0.004110883941
0.44,-0.000929795783288,-0.00347542460751,-0.00233362982355
0.45,0.00370501649391,0.0035193873545,0.00572663447762
0.46,0.00248415847688,0.00657494473833,0.0140112530319
0.47,-0.003039529299,0.00339851019461,0.012785813708
0.48,-0.0027633196954,0.00189100809608,0.00212902840049
0.49,0.00125313945129,-0.000530599134261,-4.68457628242e-05
0.5,0.00389084772253,0.00426620526053,0.00860899120866
0.51,-0.000711945465577,0.000748226968435,0.00621906563403
0.52,0.000276204041506,-0.00397748652005,-0.000805473836631
0.53,0.00472225943156,0.000150278359351,0.00409569943957
0.54,0.00201750852738,0.00581003706668,0.0131372487037
0.55,-0.00472599530096,0.00452669640221,0.011368723357
0.56,-0.00529676291088,0.000295279223792,0.00437898772772
0.57,0.00111344667325,-0.000386620767077,0.00148781230547
0.58,0.0055459917505,0.00272007260379,0.00693584455446
0.59,0.00219214883407,0.00555165024846,0.0128050863445
0.6,-0.00254002131207,0.000992316438335,0.0103536783713
0.61,-0.00283968716961,-0.00165489744204,0.000837910082351
0.62,0.00292903285016,-0.00148766398311,-0.000396873550091
0.63,0.00433267221732,0.00730718441058,0.0112471639143
0.64,-0.00358004749097,0.00577241880857,0.012072577838
0.65,-0.002789962099,0.000798280202256,0.00307562169085
0.66,0.00131106952935,-0.00374866034783,-0.00260788342604
0.67,0.00309131605038,0.00326530744676,0.00696049016831
0.68,-0.000368841551396,0.00550901684061,0.0116241631954
0.69,-0.00126790586907,-1.68994786933e-05,0.0048304976725
0.7,0.00366871459673,0.000494419603024,0.00287221426277
0.71,0.00413838846831,0.00520940567695,0.00817298836643
0.72,-0.00326349976801,0.00796000673013,0.0107317483544
0.73,-0.00726097272584,0.00403383047589,0.0050575050418
0.74,-0.00246183967002,-0.00107890054198,-0.000600266145932
0.75,0.00347057632043,0.00217598169702,0.00428119508886
0.76,0.0038854617669,0.00622658186954,0.0121447922861
0.77,-0.00109178975491,0.00384730769427,0.0105749669867
0.78,-0.00488058427885,-0.00245000725389,0.00212096337226
0.79,0.000584766459494,-0.00138838441262,0.00120668118063
0.8,0.00402051854423,0.00569414168401,0.00842864976132
0.81,0.00060734297645,0.00656340340483,0.0128774861956
0.82,-0.00388868777819,0.000113188499641,0.00756139966247
0.83,-0.000987595152269,0.000249459666284,-0.00233364836384
0.84,0.00543497524639,0.00281432497336,0.00342061764211
0.85,0.00378420394695,0.00738566547839,0.0123194974839
0.86,-0.00141487663983,0.00475377422463,0.0110286999128
0.87,0.00237066406237,-0.00218729127684,0.00272670261321
0.88,0.00367171997851,0.00181415857421,0.00909437612603
0.89,-0.00217470797877,0.00693851621094,0.0127746988013
0.9,-0.00599204714055,0.0020453282397,0.00469042574542
0.91,-0.00243956906793,-0.00265360750103,-0.00257712878506
0.92,0.00320082430151,0.0011649608823,0.00103425180409
0.93,0.00373116201761,0.00561892185405,0.0103756124671
0.94,-0.000976202141126,0.00296408327744,0.012798643592
0.95,-0.00457842382465,-0.00223998001356,0.0054011512596
0.96,-0.00243102199203,-0.00151362966595,-0.000375542940945
0.97,0.0037507405689,0.00227362045143,0.00485087160243
0.98,-9.78093251194e-05,0.00556899469423,0.0138035275692
0.99,-0.0031894776411,0.00393692035507,0.00835903095441
1.0,-0.00577455094247,0.00144575364676,0.001249662219
1.01,0.00331591318136,0.0010763104628,0.000466520167437
1.02,0.00446596766665,0.0048969090084,0.0107755729762
1.03,-0.00222355238537,0.0029824965712,0.0129567793283
1.04,-0.00296959901514,-0.00274067272533,0.0047411241815
1.05,0.00535881264244,0.00519017197514,0.00912384963265
1.06,0.00115178800285,0.00849630329697,0.00966504639941
1.07,-0.00499485553171,0.00178326951609,0.00498385279377
1.08,-0.00323433588432,-0.00156597818827,-0.00165628796415
1.09,0.0016664610239,0.00191184553339,0.00280638138406
1.1,0.003011666944,0.00670085188019,0.0114384534057
1.11,-0.000566350384688,0.0055745336073,0.0125329240872
1.12,-0.00331473587264,-4.05290843922e-05,0.00570072348865
1.13,-0.000134407867018,-0.00232159717223,0.000122467917179
1.14,0.00452300224847,0.000725548479858,0.00381621654693
1.15,0.00191927277548,0.00443253951516,0.0123436740282
1.16,-0.00399443234948,0.00210548964223,0.010245292735
1.17,-0.00511289417246,-0.00324530246869,-0.00159811778927
1.18,0.00249569424829,-0.000208572754203,5.7124502251e-05
1.19,0.00677474422505,0.00924510872261,0.00979104624274
1.2,-0.00087766974451,0.00522900276853,0.00853512667425
1.21,-0.00314684423325,-0.00126587570679,0.0020133276909
1.22,0.00205611869126,-0.00336204143478,0.000655529202587
1.23,-0.000354677693198,0.00498328175269,0.014706061703
1.24,-0.00419907085313,0.00275059178303,0.0109763365583
1.25,-0.00495104666917,-7.32805151236e-05,0.00159537382565
1.26,0.0017427969796,0.00112825480669,-0.00134170180439
1.27,0.00534347981866,0.00591074794794,0.00559628600815
1.28,0.00195459203704,0.00616701931852,0.0117484564046
1.29,-0.00296967317632,0.000743734655009,0.00828218143254
1.3,-0.00163511494751,-0.00310936966242,0.00293035848123
1.31,0.00349028465378,0.000583657749866,0.00579846792274
1.32,0.0031152738193,0.0052146859529,0.0108948315684
1.33,-0.0024158745712,0.00305308596254,0.00890888974689
1.34,-0.00398087012384,0.000371900700035,0.00275133710288
1.35,0.000537112339818,0.00184252522523,0.000363844014938
1.36,0.0026400452754,0.00482647442853,0.00891952260595
1.37,-0.00162443851876,0.00677847175131,0.0134427556811
1.38,-0.00216259560419,0.000237371394086,0.00625440158186
1.39,-0.00277831879388,-0.0033644516731,0.000876140170191
1.4,0.00413260389634,-0.00155975791937,0.00248290700698
1.41,0.00277100464759,0.00711051823368,0.0115302000544
1.42,-0.00474914471303,-0.00247602392254,0.000319140583176
1.43,0.00172998563591,-0.00347408970629,-0.00337448197258
1.44,0.00477849214564,0.00385467004533,0.00624539470665
1.45,0.000894921488804,0.00612430433338,0.0139947521696
1.46,-0.00328138559039,0.00133589961914,0.00873367561808
1.47,-0.00270780078268,-0.00175186318375,0.002043019973
1.48,0.00387861298201,-0.000121142286102,0.00123420332122
1.49,0.00378573352127,0.00350389323015,0.00858557481635
1.5,-0.00182891664886,0.00228973567565,0.0122574338471
1.51,-0.00434364436377,-0.00115262602418,0.00609643456226
1.52,-0.00148272299455,-0.000553084803772,0.000563791824008
1.53,0.00298971616199,0.00189509159601,0.00463388618947
1.54,0.00250942889866,0.00688802542616,0.0119229298486
1.55,-0.00202864382842,0.00664879444051,0.0104218464001
1.56,-0.0025833768644,-0.00120302410748,0.00383747948401
1.57,0.00209546583186,-0.00320281645618,0.0014935375485
1.58,0.00484905650757,0.00203329558838,0.00880365503371
1.59,-0.00113565794639,0.00551442133654,0.0156565187908
1.6,-0.00331978810297,0.00062304660613,-0.00367505723157
1.61,0.00470296825484,0.000996540844501,-0.000905786101546
1.62,0.00274291610099,0.00456203420406,0.00857745416723
1.63,-0.00284233657773,0.00313067153411,0.0131201378656
1.64,-0.00406419947874,-0.00155121084348,0.005788483974
1.65,0.000888815242718,-0.00436500741844,0.000120071584078
1.66,0.00405018301588,0.00101712984186,0.00708957697073
1.67,0.00146068229212,0.00526096067464,0.0114860018457
1.68,-0.00296531620705,0.00286013711475,0.00684049738049
1.69,-0.00193644108845,-0.000479215634289,-8.2189126766e-05
1.7,0.00259455666215,0.000452049467361,0.000551499608568
1.71,0.00364513875788,0.00318612370177,0.00907445457929
1.72,0.000416433561085,0.00391166847357,0.0135310872075
1.73,-0.00301091606206,0.00239489622765,0.00789489321485
1.74,-0.00130366638964,-0.00180652924291,-0.000695609611845
1.75,0.00521871290493,-0.00295116996213,0.000984526733483
1.76,0.00285701029404,0.00695205804225,0.0142432533026
1.77,-0.0028029495755,0.00421411630234,0.0103965630002
1.78,0.00121723524343,-0.00510775851081,-0.0039208088389
1.79,0.00528682067781,0.00396139354418,0.00757669540567
1.8,5.83648479719e-05,0.0077087579254,0.011366146256
1.81,-0.003038020119,0.000524949906441,0.00987601270566
1.82,-0.0018579136699,-0.00156193640401,0.00125445488521
1.83,0.00467142194327,-0.000825460274406,0.000763930598115
1.84,0.00483719998906,0.00412597574095,0.00970364729314
1.85,-9.22101560954e-05,0.00451990138417,0.0117544171094
1.86,-0.00420057817909,0.00191796383067,0.00566970372145
1.87,-0.00255475991941,-0.000802461038729,-0.000214733694158
1.88,0.000259058903907,0.00321455338979,0.00528411842984
1.89,0.000399784376372,0.00918066265795,0.0127237686116
1.9,-0.0011843391984,0.00575460529335,0.00900790789923
1.91,-0.0010739836558,-0.00201122336745,0.00163201871828
1.92,0.00327217755299,-0.00259615668959,0.000644032365793
1.93,0.0044364978681,0.00303963497868,0.00811395606784
1.94,-0.00113355733099,0.00615918789801,0.0140883584099
1.95,-0.00145665534009,0.00323692225545,0.00669842310158
1.96,0.00581114021422,0.000346026791653,-0.00068361774918
1.97,0.00438539154553,0.00639229502429,0.0135118516517
1.98,-0.004059184329,0.00581707310855,0.0138553940438
1.99,-0.00409088823308,-0.00124325654716,0.0025734392664
2.0,0.00118324810205,-0.00270321669479,-0.000398413321573
2.01,0.00470981889377,0.002047108108,0.00747714329284
